sex,age,famsize,Pstatus,Medu,Fedu,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,famrel,freetime,goout,health,absences,alc,grade
1.0,15.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,0.0,-0.7711842964420164,1.0082055735167306
0.0,15.0,0.0,1.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,0.0,-0.3819244996301757,-0.6672910942058862
0.0,15.0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,2.0,2.0,4.0,4.0,-0.7711842964420164,-0.002350120748335719
1.0,15.0,1.0,1.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,5.0,2.0,0.007335297181664979,0.8203978391727841
1.0,15.0,0.0,1.0,4.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,4.0,3.0,3.0,2.0,-0.3819244996301757,-0.29167562551799336
1.0,15.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,5.0,2.0,3.0,0.0,-0.7711842964420164,1.196013307860677
0.0,16.0,0.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,2.0,4.0,-0.3819244996301757,0.8203978391727841
0.0,16.0,0.0,1.0,4.0,4.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,6.0,-0.3819244996301757,0.7086147163644774
0.0,16.0,0.0,1.0,3.0,3.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,3.0,2.0,4.0,4.0,-0.7711842964420164,-0.6015318350528421
1.0,17.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,16.0,0.9452753613593717,-1.7641367523891873
1.0,16.0,1.0,1.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,4.0,0.007335297181664979,-0.6015318350528421
1.0,15.0,0.0,1.0,4.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,-0.7711842964420164,0.7949046802827126
1.0,15.0,0.0,1.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,4.0,2.0,5.0,0.0,-0.7711842964420164,0.784639327900117
1.0,16.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,5.0,1.0,5.0,2.0,0.007335297181664979,1.2062786602432725
1.0,16.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,0.0,0.9452753613593717,0.4345170181022959
0.0,15.0,0.0,1.0,2.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,5.0,2.0,-0.7711842964420164,-0.65206328769841
0.0,16.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,14.0,0.007335297181664979,-1.0991957789316371
1.0,15.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,5.0,2.0,-0.3819244996301757,0.1349261609500427
1.0,15.0,0.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0,0.9452753613593717,1.2215064667507487
1.0,16.0,1.0,0.0,3.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,3.0,3.0,5.0,4.0,-0.7711842964420164,-0.07837473228397535
1.0,16.0,0.0,1.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,16.0,2.98057596026881,-0.08864008466657085
1.0,15.0,0.0,1.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,4.0,2.0,5.0,0.0,1.4939556287252378,-0.21565101398235376
1.0,15.0,0.0,1.0,4.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,1.0,5.0,0.0,-0.7711842964420164,1.6176526402038325
1.0,15.0,0.0,1.0,4.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,5.0,2.0,5.0,0.0,-0.7711842964420164,1.5313626762855972
1.0,15.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,2.0,2.0,0.0,-0.7711842964420164,-0.42895190721637183
1.0,16.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,4.0,3.0,5.0,0.0,-0.7711842964420164,0.6831215574744057
0.0,15.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,5.0,1.0,5.0,0.0,-0.7711842964420164,-1.2512450020029162
1.0,15.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,4.0,3.0,4.0,2.0,-0.7711842964420164,1.4803763585054541
1.0,16.0,0.0,0.0,4.0,4.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,3.0,5.0,7.0,-0.7711842964420164,1.2215064667507487
0.0,15.0,0.0,1.0,3.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,5.0,2.0,-0.7711842964420164,0.1349261609500427
0.0,15.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,8.0,-0.7711842964420164,0.6325901048288377
0.0,16.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,25.0,-0.3819244996301757,-0.6270249939429137
1.0,15.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,3.0,5.0,8.0,0.9452753613593717,0.2212161248682778
1.0,15.0,0.0,1.0,4.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,3.0,5.0,2.0,-0.7711842964420164,2.1305443905901034
1.0,15.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,1.0,1.0,0.0,-0.7711842964420164,-0.7182774119860295
0.0,16.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,3.0,5.0,14.0,0.16675576773569034,-0.46425555335446367
0.0,15.0,1.0,0.0,4.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,5.0,8.0,-0.7711842964420164,-1.1497272315772051
0.0,16.0,1.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,3.0,12.0,0.3965950939935057,0.023143038141735923
1.0,16.0,0.0,1.0,4.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,-0.7711842964420164,2.404642088852285
1.0,15.0,0.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,3.0,5.0,2.0,0.16675576773569034,1.0336987324068023
0.0,15.0,0.0,1.0,4.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,4.0,4.0,3.0,2.0,-0.7711842964420164,-1.276738160892988
0.0,16.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,0.5560155645475311,0.40902385921222423
0.0,15.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,3.0,5.0,2.0,-0.7711842964420164,0.2972407364039174
1.0,15.0,1.0,0.0,4.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,6.0,1.4939556287252378,-0.16466469620221047
0.0,15.0,0.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,4.0,5.0,0.0,0.5560155645475311,-0.515241871134607
0.0,15.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,4.0,1.0,6.0,2.0426358960911037,0.18545761359561067
0.0,16.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,2.0,8.0,-0.7711842964420164,-0.7030496054785532
0.0,15.0,0.0,0.0,4.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,0.0,-0.7711842964420164,1.0082055735167306
1.0,15.0,0.0,1.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0,4.0,-0.7711842964420164,1.0082055735167306
1.0,15.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,5.0,2.0,-0.7711842964420164,-0.5760386761627704
0.0,16.0,0.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,3.0,5.0,2.0,-0.7711842964420164,1.3077964306689838
0.0,16.0,0.0,1.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,6.0,0.5560155645475311,-0.1901578550922821
0.0,16.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,6.0,2.98057596026881,-0.4947111663694159
0.0,16.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,4.0,-0.7711842964420164,-0.6878217989710772
0.0,16.0,0.0,1.0,4.0,3.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,2.0,0.9452753613593717,-0.5657733237801749
0.0,15.0,1.0,1.0,4.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,0.0,0.9452753613593717,-0.37796558943622854
0.0,16.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,4.0,3.0,1.0,2.0,-0.3819244996301757,1.231771819133344
1.0,15.0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,4.0,2.98057596026881,0.4345170181022959
0.0,16.0,0.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,3.0,5.0,4.0,-0.3819244996301757,-1.3630281248112233
0.0,15.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,3.0,4.0,2.0,0.007335297181664979,-0.8756295333150236
0.0,15.0,1.0,1.0,3.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,3.0,12.0,0.5560155645475311,1.4195795534772906
1.0,16.0,0.0,1.0,3.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,2.0,5.0,0.0,-0.7711842964420164,0.8964224507084237
1.0,15.0,0.0,1.0,4.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,-0.7711842964420164,-0.37796558943622854
0.0,15.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,5.0,2.0,0.9452753613593717,-1.4390527363468628
1.0,16.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,3.0,2.0,5.0,2.0,0.16675576773569034,0.393796052704748
0.0,16.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,5.0,54.0,0.9452753613593717,0.023143038141735923
1.0,15.0,0.0,1.0,4.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,5.0,6.0,0.5560155645475311,-0.5912664826702466
1.0,15.0,0.0,1.0,4.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,8.0,-0.7711842964420164,-0.16466469620221047
0.0,16.0,0.0,1.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,2.0,3.0,3.0,0.0,0.007335297181664979,-0.07837473228397535
1.0,17.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,5.0,1.0,3.0,2.0,-0.7711842964420164,-0.8045673759042645
0.0,16.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,3.0,3.0,12.0,-0.3819244996301757,-1.8759198751974944
1.0,15.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,2.0,3.0,2.0,0.007335297181664979,-0.002350120748335719
1.0,15.0,0.0,1.0,2.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,3.0,2.0,5.0,4.0,-0.3819244996301757,-0.17989250270968662
0.0,15.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,5.0,10.0,-0.7711842964420164,-1.4645458952369343
1.0,15.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,4.0,4.0,0.007335297181664979,1.1199886963250374
0.0,15.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,2.0,4.0,2.0,0.5560155645475311,-0.48974871224453526
0.0,15.0,0.0,1.0,4.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,5.0,6.0,0.5560155645475311,-0.9874126561233303
0.0,16.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,3.0,4.0,2.0,4.0,-0.3819244996301757,-1.2512450020029162
0.0,15.0,0.0,1.0,4.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,4.0,0.007335297181664979,0.7086147163644774
1.0,16.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,2.0,3.0,12.0,-0.7711842964420164,-0.2661824666279217
1.0,16.0,1.0,0.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,5.0,18.0,1.8832154255370783,-1.2664728085103925
0.0,16.0,0.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,3.0,4.0,0.0,0.007335297181664979,-1.190448196974753
0.0,15.0,0.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0,4.0,0.007335297181664979,1.693677251739472
0.0,16.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,0.5560155645475311,-1.4645458952369343
0.0,16.0,0.0,1.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,0.0,-0.7711842964420164,-0.2661824666279217
1.0,15.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,6.0,-0.7711842964420164,0.3835307003221526
0.0,15.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,-0.7711842964420164,-0.7133149578611487
1.0,16.0,0.0,1.0,4.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,4.0,2.0,-0.7711842964420164,0.6728562050918102
0.0,16.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,5.0,5.0,2.0,-0.7711842964420164,-0.7030496054785532
0.0,16.0,0.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,4.0,1.0,6.0,-0.3819244996301757,0.4850484707478638
0.0,16.0,0.0,1.0,4.0,3.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,3.0,5.0,3.0,0.0,-0.7711842964420164,-0.9874126561233303
1.0,16.0,0.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,4.0,14.0,2.98057596026881,-1.4493180887294583
1.0,16.0,0.0,1.0,4.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,0.0,-0.7711842964420164,1.607387287821237
1.0,15.0,0.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,3.0,3.0,5.0,4.0,-0.7711842964420164,0.27174757751384576
0.0,15.0,0.0,1.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,5.0,2.0,26.0,-0.7711842964420164,-1.4645458952369343
1.0,15.0,0.0,0.0,3.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,1.0,0.0,-0.7711842964420164,1.7951950221651831
0.0,15.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,3.0,4.0,10.0,-0.7711842964420164,-0.1901578550922821
0.0,15.0,0.0,1.0,2.0,2.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,2.0,3.0,8.0,-0.7711842964420164,-1.0889304265490416
1.0,16.0,0.0,1.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,3.0,3.0,5.0,2.0,-0.7711842964420164,1.7951950221651831
1.0,15.0,0.0,1.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,6.0,1.8832154255370783,0.18545761359561067
0.0,16.0,1.0,1.0,4.0,4.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0,4.0,4.0,-0.7711842964420164,1.0944955374349656
1.0,15.0,1.0,0.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,3.0,4.0,6.0,-0.7711842964420164,2.206569002125743
0.0,16.0,0.0,1.0,3.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,0.0,-0.7711842964420164,-0.7133149578611487
0.0,16.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,6.0,-0.7711842964420164,0.18545761359561067
1.0,15.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,2.0,3.0,10.0,-0.7711842964420164,2.206569002125743
1.0,15.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,2.0,5.0,8.0,-0.7711842964420164,-0.6775564465884817
1.0,16.0,0.0,1.0,4.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,2.0,-0.3819244996301757,1.2062786602432725
1.0,15.0,0.0,1.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,-0.7711842964420164,0.3835307003221526
1.0,16.0,0.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,2.0,5.0,0.0,-0.7711842964420164,0.6223247524462422
1.0,17.0,0.0,1.0,1.0,3.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,2.0,4.0,5.0,20.0,0.3965950939935057,-0.9668819513581393
1.0,15.0,0.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,3.0,4.0,6.0,-0.3819244996301757,0.6325901048288377
0.0,15.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,1.0,2.0,-0.3819244996301757,1.231771819133344
1.0,15.0,0.0,1.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,6.0,-0.3819244996301757,1.1302540487076327
0.0,16.0,1.0,1.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,5.0,2.0,-0.3819244996301757,0.520806982020531
1.0,16.0,0.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,18.0,0.3965950939935057,0.4295545639774152
0.0,16.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,4.0,4.0,5.0,0.0,-0.7711842964420164,-1.078665074166446
1.0,15.0,0.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,0.0,0.7154360351015564,0.4345170181022959
0.0,15.0,1.0,0.0,3.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,3.0,2.0,1.0,0.0,-0.7711842964420164,-0.6270249939429137
0.0,19.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,5.0,2.0,-0.7711842964420164,-1.0026404626308063
1.0,18.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,0.0,-0.3819244996301757,-2.1853212195977676
1.0,16.0,0.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,4.0,8.0,1.3345351581712124,2.0187612677817968
0.0,15.0,0.0,1.0,3.0,4.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,5.0,0.0,0.16675576773569034,-2.032476687259079
0.0,15.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,3.0,4.0,0.0,-0.3819244996301757,-2.4796091784923058
0.0,17.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,5.0,12.0,0.007335297181664979,0.09916764967737556
